threshold,precision,recall,f1
2.8083293727831915e-05,0.03103020273065784,1.0,0.0601926163140106
2.8095082598156296e-05,0.031033412640943416,1.0,0.06019865550497236
2.8165366529719904e-05,0.031036623215394164,1.0,0.060204695907892965
2.823693102982361e-05,0.031039834454216243,1.0,0.0602107375231373
2.8251286494196393e-05,0.031043046357615893,1.0,0.06021678035107035
2.827640673785936e-05,0.03104625892579944,1.0,0.0602228243920573
2.8314538212725893e-05,0.031049472158973298,1.0,0.06022886964646342
2.839035187207628e-05,0.031055900621118012,1.0,0.06024096379699521
2.8438882509362884e-05,0.031059115850502122,1.0,0.06024701269385221
2.8460126486606896e-05,0.031062331745703043,1.0,0.06025306280559107
2.8481983463279903e-05,0.031065548306927617,1.0,0.06025911413257786
2.8515791200334206e-05,0.03106876553438277,1.0,0.060265166675178734
2.85769365291344e-05,0.031071983428275506,1.0,0.06027122043376005
2.8647633371292613e-05,0.031075201988812928,1.0,0.060277275408688276
2.8682788979494944e-05,0.031078421216202218,1.0,0.060283331600330045
2.8725407901220024e-05,0.03108164111065064,1.0,0.06028938900905212
2.8761591238435358e-05,0.031084861672365557,1.0,0.06029544763522144
2.8762688089045696e-05,0.031088082901554404,1.0,0.060301507479205055
2.8763291993527673e-05,0.03109130479842471,1.0,0.06030756854137021
2.8777642000932246e-05,0.03109452736318408,1.0,0.060313630822084234
2.8778327759937383e-05,0.03109775059604022,1.0,0.06031969432171468
2.8816997655667365e-05,0.031100974497200912,1.0,0.06032575904062917
2.8840446248068474e-05,0.03110419906687403,1.0,0.06033182497919552
2.884718560380861e-05,0.031107424305267525,1.0,0.06033789213778171
2.886441143346019e-05,0.031110650212589443,1.0,0.060343960516755814
2.8868846129626036e-05,0.031113876789047916,1.0,0.06035003011648611
2.887190021283459e-05,0.031117104034851156,1.0,0.060356100937340985
2.8896938601974398e-05,0.03112033195020747,1.0,0.060362172979689
2.892886732297484e-05,0.03112356053532524,1.0,0.060368246243898825
2.893433156714309e-05,0.03112678979041295,1.0,0.060374320730339326
2.8942829885636456e-05,0.031130019715679153,1.0,0.060380396439379494
2.89972285827389e-05,0.031133250311332503,1.0,0.06038647337138848
2.9039927539997734e-05,0.031136481577581733,1.0,0.06039255152673556
2.9066442948533222e-05,0.031139713514635667,1.0,0.060398630905790174
2.9067414288874716e-05,0.031142946122703206,1.0,0.060404711508921904
2.9073236873955466e-05,0.031146179401993355,1.0,0.06041079333650052
2.9137323508621193e-05,0.03114941335271519,1.0,0.06041687638889588
2.9158700272091664e-05,0.03115264797507788,1.0,0.06042296066647803
2.9170940251788124e-05,0.031155883269290686,1.0,0.060429046169617154
2.9213113521109335e-05,0.03115911923556294,1.0,0.06043513289868357
2.9242632081150077e-05,0.031162355874104083,1.0,0.06044122085404778
2.9244640245451592e-05,0.031165593185123623,1.0,0.060447310036080414
2.928404683189001e-05,0.03116883116883117,1.0,0.06045340044515224
2.929234142357018e-05,0.03117206982543641,1.0,0.06045949208163421
2.9322833142941818e-05,0.03117530915514912,1.0,0.06046558494589736
2.9352799174375832e-05,0.03117854915817917,1.0,0.06047167903831299
2.9362065106397495e-05,0.031181789834736514,1.0,0.06047777435925243
2.9411501600407064e-05,0.031185031185031187,1.0,0.06048387090908721
2.948578003270086e-05,0.031188273209273313,1.0,0.06048996868818902
2.9514165362343192e-05,0.031191515907673113,1.0,0.060496067696929695
2.9544749850174412e-05,0.031194759280440885,1.0,0.06050216793568121
2.9548777092713863e-05,0.03119800332778702,1.0,0.0605082694048157
2.9551229090429842e-05,0.031201248049921998,1.0,0.06051437210470543
2.9589693440357223e-05,0.031204493447056378,1.0,0.06052047603572283
2.9607166652567685e-05,0.031207739519400812,1.0,0.06052658119824049
2.9662984161404893e-05,0.031210986267166042,1.0,0.060532687592631126
2.9664313842658885e-05,0.031214233690562896,1.0,0.06053879521926764
2.9697259378735907e-05,0.031217481789802288,1.0,0.060544904078523046
2.9711025490541942e-05,0.031220730565095223,1.0,0.06055101417077053
2.973875052703079e-05,0.03122398001665279,1.0,0.06055712549638344
2.974785638798494e-05,0.031227230144686167,1.0,0.060563238055735234
2.9767210435238667e-05,0.03123048094940662,1.0,0.06056935184919955
2.9805103622493334e-05,0.031233732431025507,1.0,0.06057546687715019
2.981800753332209e-05,0.03123698458975427,1.0,0.06058158313996107
2.9839316994184628e-05,0.031240237425804437,1.0,0.06058770063800629
2.9905091651016846e-05,0.03124349093938763,1.0,0.06059381937166008
2.994755959662143e-05,0.03124674513071555,1.0,0.060599939341296837
2.9973502023494802e-05,0.03125,1.0,0.06060606054729109
2.9986968002049252e-05,0.03125325554745286,1.0,0.060612182990017534
2.9996977900736965e-05,0.0312565117732861,1.0,0.060618306669851026
3.000573269673623e-05,0.03125976867771178,1.0,0.06062443158716654
3.0032901122467592e-05,0.03126302626094206,1.0,0.06063055774233923
3.0064451493672095e-05,0.031266284523189164,1.0,0.06063668513574441
3.0084125683060847e-05,0.031269543464665414,1.0,0.0606428137677575
3.0100054573267698e-05,0.03127280308558324,1.0,0.06064894363875412
3.0129545848467387e-05,0.03127606338615513,1.0,0.060655074749110034
3.01579202641733e-05,0.03127932436659368,1.0,0.06066120709920113
3.0239105399232358e-05,0.03128258602711158,1.0,0.060667340689403465
3.0247065296862274e-05,0.03128584836792158,1.0,0.060673475520093244
3.024890975211747e-05,0.03128911138923655,1.0,0.06067961159164682
3.0270666684373282e-05,0.03129237509126943,1.0,0.06068574890444074
